Frame         Time          Elec          VdW           Nonbond       Total         
337           337           -4011.08      -624.106      -4635.18      -4635.18      
338           338           -3934.47      -584.118      -4518.58      -4518.58      
339           339           -3880.91      -631.328      -4512.24      -4512.24      
340           340           -3998.68      -666.869      -4665.55      -4665.55      
341           341           -4083.29      -653.682      -4736.98      -4736.98      
342           342           -3896.83      -649.449      -4546.28      -4546.28      
343           343           -3949.06      -644.774      -4593.83      -4593.83      
344           344           -4086.35      -649.552      -4735.91      -4735.91      
345           345           -3946.14      -684.705      -4630.84      -4630.84      
346           346           -3961.14      -628.701      -4589.84      -4589.84      
347           347           -3892.61      -614.788      -4507.39      -4507.39      
348           348           -4059.12      -672.789      -4731.91      -4731.91      
349           349           -3959.27      -649.989      -4609.26      -4609.26      
350           350           -3934.51      -624.977      -4559.49      -4559.49      
351           351           -3990.01      -679.019      -4669.02      -4669.02      
352           352           -3866.7       -597.369      -4464.07      -4464.07      
353           353           -3779.27      -614.834      -4394.1       -4394.1       
354           354           -3815.35      -681.491      -4496.84      -4496.84      
355           355           -3991.47      -664.419      -4655.89      -4655.89      
356           356           -3958.06      -619.435      -4577.5       -4577.5       
357           357           -3999.6       -646.301      -4645.9       -4645.9       
358           358           -3889.7       -631.011      -4520.71      -4520.71      
359           359           -3937.71      -614.943      -4552.65      -4552.65      
360           360           -3872.31      -618.187      -4490.5       -4490.5       
361           361           -3915.57      -608.215      -4523.78      -4523.78      
362           362           -3810.35      -652.316      -4462.66      -4462.66      
363           363           -3921.85      -631.727      -4553.57      -4553.57      
364           364           -3929.36      -659.023      -4588.39      -4588.39      
365           365           -3982.43      -640.047      -4622.48      -4622.48      
366           366           -3939.21      -666.773      -4605.98      -4605.98      
367           367           -4000.45      -645.549      -4646         -4646         
368           368           -3850.74      -623.952      -4474.69      -4474.69      
369           369           -3937.56      -642.49       -4580.05      -4580.05      
370           370           -4008.81      -623.388      -4632.2       -4632.2       
371           371           -4111.56      -592.682      -4704.24      -4704.24      
372           372           -4069.08      -639.963      -4709.04      -4709.04      
373           373           -4057.76      -612.349      -4670.11      -4670.11      
374           374           -4004.06      -689.385      -4693.45      -4693.45      
375           375           -3972.95      -638.478      -4611.43      -4611.43      
376           376           -4019.62      -650.142      -4669.76      -4669.76      
377           377           -4062.07      -675.507      -4737.58      -4737.58      
378           378           -4065.44      -669.083      -4734.52      -4734.52      
379           379           -4035.34      -667.742      -4703.08      -4703.08      
380           380           -4103.24      -633.701      -4736.94      -4736.94      
