Conformation, LigandName, Frame, AD_BindingEnergy,VN_BindingEnergy, Average_Energy
namd-av01,av01,frame00552,-2.14,-1.59284,-1.866
namd-av01,av01,frame00908,0.15,0.0,0.075
namd-av01,av01,frame00428,0.19,0.0,0.095
namd-av01,av01,frame00872,0.19,0.0,0.095
namd-av01,av01,frame00805,0.2,0.0,0.1
namd-av01,av01,frame00991,0.18,0.0,0.09
namd-av01,av01,frame01240,0.18,0.0,0.09
namd-av01,av01,frame01237,0.2,0.0,0.1
namd-av01,av01,frame00896,0.15,0.0,0.075
namd-av01,av01,frame00558,-2.7,-2.44206,-2.571
namd-av01,av01,frame00902,0.85,0.0,0.425
namd-av01,av01,frame00975,0.25,0.0,0.125
namd-av01,av01,frame00455,0.15,0.0,0.075
namd-av01,av01,frame00422,0.15,0.0,0.075
namd-av01,av01,frame00878,0.21,0.0,0.105
namd-av01,av01,frame01330,0.27,0.0,0.135
namd-av01,av01,frame01347,0.17,0.0,0.085
namd-av01,av01,frame00168,0.81,0.0,0.405
namd-av01,av01,frame00065,-1.86,-2.79999,-2.33
namd-av01,av01,frame00186,0.21,0.0,0.105
namd-av01,av01,frame00012,-5.62,-6.70713,-6.164
namd-av01,av01,frame01799,0.2,0.0,0.1
namd-av01,av01,frame01700,0.2,0.0,0.1
namd-av01,av01,frame01694,0.19,0.0,0.095
namd-av01,av01,frame01777,0.15,0.0,0.075
namd-av01,av01,frame00758,0.19,0.0,0.095
namd-av01,av01,frame00655,0.27,0.0,0.135
namd-av01,av01,frame00622,0.18,0.0,0.09
namd-av01,av01,frame01130,0.16,0.0,0.08
namd-av01,av01,frame01147,0.16,0.0,0.08
namd-av01,av01,frame00368,0.17,0.0,0.085
namd-av01,av01,frame00265,0.45,0.0,0.225
namd-av01,av01,frame00212,0.2,0.0,0.1
namd-av01,av01,frame00386,0.21,0.0,0.105
namd-av01,av01,frame01599,0.17,0.0,0.085
namd-av01,av01,frame01857,0.28,0.0,0.14
namd-av01,av01,frame01820,0.18,0.0,0.09
namd-av01,av01,frame01494,0.17,0.0,0.085
namd-av01,av01,frame01500,0.19,0.0,0.095
namd-av01,av01,frame01577,0.24,0.0,0.12
namd-av01,av01,frame00281,0.18,0.0,0.09
namd-av01,av01,frame00315,0.3,0.0,0.15
namd-av01,av01,frame00362,0.29,0.0,0.145
namd-av01,av01,frame00218,0.21,0.0,0.105
namd-av01,av01,frame01470,0.19,0.0,0.095
namd-av01,av01,frame01407,0.18,0.0,0.09
namd-av01,av01,frame01593,0.2,0.0,0.1
namd-av01,av01,frame01927,0.2,0.0,0.1
namd-av01,av01,frame01950,0.19,0.0,0.095
